concept,fy,n_missing,tag,n_ciks,example
cogs,2011,261,Revenues,171,WYNN RESORTS LTD
cogs,2011,261,CostsAndExpenses,108,EQUITY RESIDENTIAL
cogs,2011,261,TreasuryStockValueAcquiredCostMethod,89,SCHLUMBERGER LTD /NV/
cogs,2011,261,OtherCostAndExpenseOperating,56,UNION PACIFIC CORP
cogs,2011,261,PaymentsOfDebtIssuanceCosts,55,WILLIAMS COMPANIES INC
cogs,2011,261,PaymentsOfFinancingCosts,32,CONCHO RESOURCES INC
cogs,2011,261,OtherSalesRevenueNet,30,MEREDITH CORP
cogs,2011,261,SalesRevenueNet,29,WILLIAMS SONOMA INC
cogs,2011,261,AmortizationOfFinancingCostsAndDiscounts,28,CME GROUP INC.
cogs,2011,261,AmortizationOfFinancingCosts,28,VORNADO REALTY TRUST
cogs,2011,261,DeferredRevenueCurrent,28,IAC/INTERACTIVECORP
cogs,2011,261,IncreaseDecreaseInDeferredRevenue,27,WILLIAMS SONOMA INC
cogs,2011,261,RealEstateInvestmentPropertyAtCost,22,PUBLIC STORAGE
cogs,2011,261,FuelCosts,21,SOUTHWEST AIRLINES CO
cogs,2011,261,DeferredPolicyAcquisitionCosts,21,CINCINNATI FINANCIAL CORP
cogs,2011,261,OtherComprehensiveIncomeAmortizationOfDefinedBenefitPlanNetPriorServiceCostRecognizedInNetPeriodicPensionCostNetOfTax,19,ANADARKO PETROLEUM CORP
cogs,2011,261,DirectCostsOfLeasedAndRentedPropertyOrEquipment,19,KIMCO REALTY CORP
cogs,2011,261,InterestCostsCapitalized,18,CIMAREX ENERGY CO
cogs,2011,261,OperatingLeasesIncomeStatementLeaseRevenue,18,"HCP, INC."
cogs,2011,261,BusinessCombinationAcquisitionRelatedCosts,17,MID AMERICA APARTMENT COMMUNITIES INC
