concept,fy,n_missing,tag,n_ciks,example
revenue,2015,48,TreasuryStockValueAcquiredCostMethod,23,CHIPOTLE MEXICAN GRILL INC
revenue,2015,48,CostsAndExpenses,9,NEWMONT MINING CORP /DE/
revenue,2015,48,PaymentsOfDebtIssuanceCosts,8,TESORO CORP /NEW/
revenue,2015,48,BrokerageCommissionsRevenue,5,M&T BANK CORP
revenue,2015,48,OtherCostAndExpenseOperating,5,"AFFILIATED MANAGERS GROUP, INC."
revenue,2015,48,AmortizationOfFinancingCostsAndDiscounts,4,TARGA RESOURCES CORP.
revenue,2015,48,ExciseAndSalesTaxes,4,MARATHON PETROLEUM CORP
revenue,2015,48,RefiningAndMarketingRevenue,4,HOLLYFRONTIER CORP
revenue,2015,48,PaymentsOfFinancingCosts,4,KKR & CO. L.P.
revenue,2015,48,ProceedsFromSalesOfBusinessAffiliateAndProductiveAssets,4,EXXON MOBIL CORP
revenue,2015,48,OperatingCostsAndExpenses,4,HOLLYFRONTIER CORP
revenue,2015,48,OperatingLeasesIncomeStatementLeaseRevenue,4,"PEOPLE'S UNITED FINANCIAL, INC."
revenue,2015,48,RefiningAndMarketingCosts,4,TESORO CORP /NEW/
revenue,2015,48,GainLossOnSalesOfLoansNet,4,CAPITAL ONE FINANCIAL CORP
revenue,2015,48,GainsLossesOnSalesOfOtherRealEstate,3,SUNTRUST BANKS INC
revenue,2015,48,GainLossOnSalesOfAssetsAndAssetImpairmentCharges,3,CHIPOTLE MEXICAN GRILL INC
revenue,2015,48,OtherComprehensiveIncomeDefinedBenefitPlanNetPriorServiceCostsCreditArisingDuringPeriodNetOfTax,3,BANK OF NEW YORK MELLON CORP
revenue,2015,48,OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditNetOfTax,3,REGIONS FINANCIAL CORP
revenue,2015,48,AvailableForSaleSecuritiesAmortizedCost,3,M&T BANK CORP
revenue,2015,48,HealthCareOrganizationPatientServiceRevenueProvisionforBadDebts,3,TENET HEALTHCARE CORP
