concept,fy,n_missing,tag,n_ciks,example
cogs,2015,267,Revenues,168,"WELLCARE HEALTH PLANS, INC."
cogs,2015,267,CostsAndExpenses,112,RANGE RESOURCES CORP
cogs,2015,267,TreasuryStockValueAcquiredCostMethod,92,MARATHON OIL CORP
cogs,2015,267,OtherCostAndExpenseOperating,59,LINCOLN NATIONAL CORP
cogs,2015,267,PaymentsOfDebtIssuanceCosts,57,"WPX ENERGY, INC."
cogs,2015,267,SalesRevenueNet,40,MGM RESORTS INTERNATIONAL
cogs,2015,267,AmortizationOfFinancingCostsAndDiscounts,36,"QEP RESOURCES, INC."
cogs,2015,267,IncreaseDecreaseInDeferredRevenue,33,LEVEL 3 COMMUNICATIONS INC
cogs,2015,267,DeferredRevenueCurrent,32,"CBOE HOLDINGS, INC."
cogs,2015,267,OtherSalesRevenueNet,32,PEABODY ENERGY CORP
cogs,2015,267,PaymentsOfFinancingCosts,29,AVALONBAY COMMUNITIES INC
cogs,2015,267,AmortizationOfFinancingCosts,26,"AMERICAN WATER WORKS COMPANY, INC."
cogs,2015,267,OperatingCostsAndExpenses,21,CONOCOPHILLIPS
cogs,2015,267,AvailableForSaleDebtSecuritiesAmortizedCostBasis,20,PRUDENTIAL FINANCIAL INC
cogs,2015,267,OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditNetOfTax,19,REGIONS FINANCIAL CORP
cogs,2015,267,BusinessCombinationAcquisitionRelatedCosts,19,UNIVERSAL HEALTH SERVICES INC
cogs,2015,267,FuelCosts,18,CONSOLIDATED EDISON INC
cogs,2015,267,DeferredPolicyAcquisitionCosts,18,XL GROUP PLC
cogs,2015,267,RealEstateInvestmentPropertyAtCost,18,HEALTH CARE REIT INC /DE/
cogs,2015,267,OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditTax,18,MOODYS CORP /DE/
