ticker,wiki_name,sec_name,yf_name,overlap,exchange,currency,quote_type,first_price,member_start,member_end,level,n_levels,flag,reason
DV,DeVry,ADTALEM GLOBAL EDUCATION INC.|COVISTA INC.|DEVRY EDUCATION GROUP INC.|DEVRY INC,"DoubleVerify Holdings, Inc.",0.0,NYQ,USD,EQUITY,,1900-01-01,2012-09-30,,,true,name overlap 0.00
DWDP,DuPont,"DOWDUPONT INC.|DUPONT DE NEMOURS, INC.",,,,,NONE,,2017-09-01,2019-06-02,,,false,""
DXC,DXC Technology,"DXC TECHNOLOGY CO|EVERETT SPINCO, INC.",DXC Technology Company,1.0,NYQ,USD,EQUITY,2008-01-02,2017-04-04,2023-10-02,1.0026427877163189,7,false,""
DYN,Dynegy,,"Dyne Therapeutics, Inc.",0.0,NMS,USD,EQUITY,,1900-01-01,2009-12-17,,,true,name overlap 0.00
EA,Electronic Arts,ELECTRONIC ARTS INC.,Electronic Arts Inc,1.0,NMS,USD,EQUITY,2026-07-17,1900-01-01,2026-08-04,,,true,first price 2026-07-17 is over 24 months after membership start 2008-01-01
EK,Eastman Kodak,EASTMAN KODAK CO,3046724,,YHD,,MUTUALFUND,,1900-01-01,2010-12-16,,,false,""
EMC,EMC Corporation,EMC CORP,Global X Emerging Markets Great Consumer ETF,0.0,PCX,USD,ETF,,1900-01-01,2016-09-07,,,true,name overlap 0.00; quote type ETF
EMN,Eastman Chemical Co.,EASTMAN CHEMICAL CO,Eastman Chemical Company,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2025-11-03,1.059792640722252,16,false,""
ENDP,Endo International,ENDO INTERNATIONAL PLC,,,,,NONE,,2015-01-27,2017-03-01,,,false,""
ENPH,Enphase Energy,"ENPHASE ENERGY, INC.","Enphase Energy, Inc.",1.0,NGM,USD,EQUITY,2012-03-30,2021-01-07,2025-09-21,,,false,""
EP,El Paso Corporation,EL PASO CORP/DE,Empire Petroleum Corporation,0.0,ASE,USD,EQUITY,2008-01-02,1900-01-01,2012-05-16,0.006500598391676289,3,true,"name overlap 0.00; price level 0.006501 outside [0.5, 20]"
EPAM,EPAM Systems,"EPAM SYSTEMS, INC.","EPAM Systems, Inc.",1.0,NYQ,USD,EQUITY,2012-02-08,2021-12-14,2026-06-01,1.0331726695081447,4,false,""
EQT,EQT Corporation,EQT CORP,EQT Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2018-11-12,1.0050624172470233,10,false,""
ESRX,Express Scripts,EXPRESS SCRIPTS HOLDING CO.|EXPRESS SCRIPTS INC,Express Scripts Holding Company,1.0,YHD,,MUTUALFUND,2008-01-02,2003-09-25,2018-12-23,1.002635926466822,9,false,""
ESV,Ensco,ENSCO INTERNATIONAL INC|ENSCO PLC|ENSCO ROWAN PLC|VALARIS LTD|VALARIS PLC,,,,,NONE,,2012-07-31,2016-03-29,,,false,""
ETFC,E-Trade,E TRADE FINANCIAL CORP,,,,,NONE,,1900-01-01,2020-10-06,,,false,""
ETSY,Etsy,ETSY INC,"Etsy, Inc.",1.0,NYQ,USD,EQUITY,2015-04-16,2020-09-21,2024-09-22,1.006624093767054,4,false,""
EVHC,Envision Healthcare,ENVISION HEALTHCARE CORP,Envision Healthcare Corporation,1.0,YHD,,MUTUALFUND,2013-08-14,2016-12-02,2018-10-10,1.0336636039842038,1,false,""
FBHS,Fortune Brands Home & Security,"FORTUNE BRANDS HOME & SECURITY, INC.|FORTUNE BRANDS INNOVATIONS, INC.",,,,,NONE,,2016-06-22,2022-12-18,,,false,""
FDC,First Data,"FIRST DATA CORP|TELECHECK SERVICES, INC.",,,,,NONE,,1900-01-01,2007-09-25,,,false,""
FDO,Family Dollar,FAMILY DOLLAR STORES INC,,,,,,,1900-01-01,2015-07-07,,,false,no_info
FHN,First Horizon,FIRST HORIZON CORP|FIRST HORIZON NATIONAL CORP,First Horizon Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2013-06-20,1.024860600684038,3,false,""
FII,Federated Investors,"FEDERATED HERMES, INC.|FEDERATED INVESTORS INC /PA/",,,,,NONE,,1900-01-01,2013-01-01,,,false,""
FL,Foot Locker,"FOOT LOCKER INC|FOOT LOCKER, INC.",,,,,NONE,,2016-04-04,2019-08-08,,,false,""
FLIR,FLIR Systems,FLIR SYSTEMS INC,,,,,NONE,,1900-01-01,2021-05-13,,,false,""
FLR,Fluor Corporation,FLUOR CORP,Fluor Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2019-06-02,1.004042800893814,10,false,""
FLS,Flowserve,FLOWSERVE CORP,Flowserve Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2021-03-21,1.3261945892728244,12,false,""
FLT,FLEETCOR Technologies,"CORPAY, INC.|FLEETCOR TECHNOLOGIES INC",,,,,NONE,,2018-06-20,2024-03-24,,,false,""
FMC,FMC Corporation,FMC CORP,FMC Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,2009-08-19,2025-03-23,1.0065716869938168,15,false,""
FNM,Fannie Mae,,5276697,,YHD,,MUTUALFUND,,1900-01-01,2008-09-11,,,false,""
FOSL,Fossil Group,"FOSSIL GROUP, INC.|FOSSIL INC","Fossil Group, Inc.",1.0,NMS,USD,EQUITY,2008-01-02,2012-04-03,2016-01-04,1.3471060531675916,4,false,""
FOX,21st Century Fox,"FOX CORP|NEWS CORP|TWENTY-FIRST CENTURY FOX, INC.",Fox Corporation,1.0,NMS,USD,EQUITY,2019-03-13,2015-09-18,2019-03-18,,,true,first price 2019-03-13 is over 24 months after membership start 2015-09-18
FOXA,21st Century Fox,"FOX CORP|NEWS CORP|TWENTY-FIRST CENTURY FOX, INC.",Fox Corporation,1.0,NMS,USD,EQUITY,2019-03-12,1900-01-01,2019-03-18,,,true,first price 2019-03-12 is over 24 months after membership start 2008-01-01
FRC,First Republic Bank,FIRST REPUBLIC PREFERRED CAPITAL CORP,,,,,NONE,,2019-01-02,2023-05-03,,,false,""
FRE,Freddie Mac,,,,,,,,1900-01-01,2008-09-11,,,false,no_info
FRX,Forest Laboratories,FOREST LABORATORIES INC,,,,,,,1900-01-01,2014-06-30,,,false,no_info
FSLR,First Solar,"FIRST SOLAR, INC.","First Solar, Inc.",1.0,NMS,USD,EQUITY,2008-01-02,1900-01-01,2017-03-19,1.576265234349432,8,false,""
FTI,TechnipFMC,TECHNIPFMC PLC|FMC TECHNOLOGIES INC,TechnipFMC plc,1.0,NYQ,USD,EQUITY,2008-01-02,2009-06-05,2021-02-11,1.7488815486877893,11,false,""
FTR,Frontier Communications,"FRONTIER COMMUNICATIONS CORP|FRONTIER COMMUNICATIONS PARENT, INC.",,,,,NONE,,1900-01-01,2017-03-19,,,false,""
GAS,Nicor Gas|AGL Resources,NICOR INC|AGL RESOURCES INC|SOUTHERN CO GAS,,,,,,,1900-01-01,2016-06-30,,,false,no_info
GENZ,Genzyme,GENZYME CORP,VanEck Digital Native Economy ETF,0.0,NGM,USD,EQUITY,2008-01-24,1900-01-01,2011-03-31,0.42159360020103637,2,true,"name overlap 0.00; price level 0.4216 outside [0.5, 20]"
GGP,GGP Inc.,"BROOKFIELD PROPERTY REIT INC.|GENERAL GROWTH PROPERTIES, INC.|GGP INC.",GGP Inc.,1.0,YHD,0.5,MUTUALFUND,,2013-12-10,2018-08-27,,,false,""
GHC,Graham Holdings,GRAHAM HOLDINGS CO|WASHINGTON POST CO,Graham Holdings Company,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2014-09-19,,,false,""
GLK,Great Lakes Chemical,,930046,,YHD,,MUTUALFUND,,1900-01-01,2005-06-30,,,false,""
GMCR,Keurig Green Mountain,"GREEN MOUNTAIN COFFEE ROASTERS INC|KEURIG GREEN MOUNTAIN, INC.",26885,,YHD,,MUTUALFUND,,2014-03-21,2016-03-06,,,false,""
GME,GameStop,GAMESTOP CORP.,GameStop Corp.,1.0,NYQ,USD,EQUITY,2008-01-02,2007-12-13,2016-04-24,1.0005896335291606,6,false,""
GNW,Genworth Financial,GENWORTH FINANCIAL INC,"Genworth Financial, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2015-11-17,1.0047830021343824,7,false,""
GOOGL,Alphabet Inc. (Class A),GOOGLE INC.|ALPHABET INC.,Alphabet Inc.,1.0,NMS,USD,EQUITY,2008-01-02,2006-03-31,2014-04-02,1.086074746145826,2,false,""
GPS,Gap,GAP INC,,,,,,,1900-01-01,2022-02-02,,,false,no_info
GR,Goodrich Corporation,GOODRICH CORP,1040989,,YHD,,MUTUALFUND,2008-01-02,1900-01-01,2012-07-30,0.0709430983981036,3,true,"price level 0.07094 outside [0.5, 20]"
GRA,WR Grace,,,,,,NONE,,1900-01-01,2000-12-04,,,false,""
GRN,General Re,,iPath Series B Carbon ETN,0.0,PCX,USD,ETF,,1900-01-01,1998-12-10,,,true,name overlap 0.00; quote type ETF
GT,The Goodyear Tire & Rubber Company,GOODYEAR TIRE & RUBBER CO /OH/,The Goodyear Tire & Rubber Company,1.0,NMS,USD,EQUITY,2008-01-02,1900-01-01,2019-02-26,1.0027612902571117,9,false,""
HAR,Harman International,HARMAN INTERNATIONAL INDUSTRIES INC /DE/,906601,,YHD,,MUTUALFUND,2013-01-17,1900-01-01,2017-03-15,83.84711694784055,3,true,"price level 83.85 outside [0.5, 20]; first price 2013-01-17 is over 24 months after membership start 2008-01-01"
HBI,Hanesbrands,HANESBRANDS INC.,,,,,,,2015-03-23,2021-12-19,,,false,no_info
HCBK,Hudson City Bancorp,HUDSON CITY BANCORP INC,382084,,YHD,,MUTUALFUND,,1900-01-01,2015-11-01,,,false,""
HES,Hess Corporation,HESS CORP,,,,,,,1900-01-01,2025-07-22,,,false,no_info
HFC,HollyFrontier,HOLLY CORP|HOLLYFRONTIER CORP,,,,,,,2018-06-18,2021-06-03,,,false,no_info
HNG,Houston Natural Gas,,,,NMS,,ECNQUOTE,,1900-01-01,1976-06-30,,,true,quote type ECNQUOTE
HNZ,Heinz,HEINZ H J CO,1236644,,YHD,,MUTUALFUND,,1900-01-01,2013-06-05,,,false,""
HOG,Harley-Davidson,"HARLEY DAVIDSON INC|HARLEY-DAVIDSON, INC.","Harley-Davidson, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2020-06-21,1.0074554669629106,11,false,""
HOLX,Hologic,HOLOGIC INC,,,,,NONE,,2016-03-30,2026-04-08,,,false,""
HOT,Starwood Hotels and Resorts,"STARWOOD HOTEL & RESORTS WORLDWIDE INC|STARWOOD HOTEL & RESORTS WORLDWIDE, INC",,,,,,2015-01-02,1900-01-01,2016-09-21,1.0011635077972745,1,false,no_info
HP,Helmerich & Payne,"HELMERICH & PAYNE INC|HELMERICH & PAYNE, INC.","Helmerich & Payne, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,2010-02-26,2020-05-21,1.0305625307166784,10,false,""
HPH,Harnischfeger Industries,,,,,,NONE,,1900-01-01,1999-06-08,,,false,""
HRB,H&R Block,H&R BLOCK INC,"H&R Block, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2020-09-20,1.0014671651909932,11,false,""
HSP,Hospira,HOSPIRA INC,808105,,YHD,,MUTUALFUND,,1900-01-01,2015-09-01,,,false,""
IGT,International Game Technology,INTERNATIONAL GAME TECHNOLOGY,,,,,NONE,,1900-01-01,2014-06-19,,,false,""
ILMN,"Illumina, Inc.","ILLUMINA INC|ILLUMINA, INC.","Illumina, Inc.",1.0,NMS,USD,EQUITY,2008-01-02,2015-11-19,2024-06-23,1.147487304801857,8,false,""
INFO,IHS Markit,IHS MARKIT LTD.,Harbor PanAgora Dynamic Large Cap Core ETF,0.0,NYQ,USD,ETF,,2017-06-02,2022-03-01,,,true,name overlap 0.00; quote type ETF
IPG,Interpublic Group,"INTERPUBLIC GROUP OF COMPANIES, INC.",,,,,,,1900-01-01,2025-11-27,,,false,no_info
IPGP,IPG Photonics,IPG PHOTONICS CORP,IPG Photonics Corporation,1.0,NMS,USD,EQUITY,2008-01-02,2018-03-07,2022-06-20,1.553812769254835,4,false,""
ITT,ITT,ITT CORP|ITT INC.,ITT Inc.,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2011-10-30,0.9973218365396067,2,false,""
JBL,Jabil Circuit,JABIL CIRCUIT INC|JABIL INC,Jabil Inc.,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2014-11-04,1.0576399440474296,4,false,""
JCP,JCPenney,J C PENNEY CO INC,,,,,NONE,,1900-01-01,2013-12-01,,,false,""
JDSU,JDS Uniphase,JDS UNIPHASE CORP /CA/|VIAVI SOLUTIONS INC.,45716466,,YHD,,MUTUALFUND,,2000-07-27,2013-12-22,,,false,""
JEF,Jefferies Financial Group,JEFFERIES FINANCIAL GROUP INC.|LEUCADIA NATIONAL CORP,Jefferies Financial Group Inc.,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2019-09-25,1.086834034497764,11,false,""
JNPR,Juniper Networks,JUNIPER NETWORKS INC,,,,,NONE,,2006-06-02,2025-07-08,,,false,""
JNS,Janus Capital Group,JANUS CAPITAL GROUP INC,,,,,,,1900-01-01,2011-11-17,,,false,no_info
JNY,Jones Apparel Group,JONES APPAREL GROUP INC|JONES GROUP INC,826889,,YHD,,MUTUALFUND,,1900-01-01,2009-03-02,,,false,""
JOY,Joy Global,JOY GLOBAL INC,,,,,,,2011-02-25,2015-10-06,,,false,no_info
JWN,Nordstrom,NORDSTROM INC,,,,,NONE,,1900-01-01,2020-06-21,,,false,""
K,Kellanova,KELLANOVA|KELLOGG CO,,,,,,,1900-01-01,2025-12-10,,,false,no_info
KBH,KB Home,KB HOME,KB Home,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2009-12-17,,,false,""
KFT,Kraft Foods,"KRAFT FOODS INC|MONDELEZ INTERNATIONAL, INC.",1472910,,YHD,,MUTUALFUND,,2007-03-30,2012-10-01,,,false,""
KG,King Pharmaceuticals,KING PHARMACEUTICALS INC,Kestrel Group Ltd,0.0,NCM,USD,EQUITY,2008-05-06,1900-01-01,2010-12-16,,,true,name overlap 0.00
KMX,CarMax,CARMAX INC,"CarMax, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,2010-06-28,2025-10-30,0.9986719136115062,16,false,""
KRFT,Kraft Foods,"KRAFT FOODS GROUP, INC.",,,YHD,,MUTUALFUND,,2012-10-02,2015-07-05,,,false,""
KSE,KeySpan,,753928,,YHD,,MUTUALFUND,,1900-01-01,2007-08-23,,,false,""
KSS,Kohl's,KOHLS CORP|KOHLS CORPORATION,Kohl's Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2020-09-20,0.999191131550896,11,false,""
KSU,Kansas City Southern,KANSAS CITY SOUTHERN,,,,,NONE,,2013-05-23,2021-12-13,,,false,""
LDW,Laidlaw,,,,YHD,,MUTUALFUND,,1900-01-01,1999-12-07,,,false,""
LEG,Leggett & Platt,LEGGETT & PLATT INC,Leggett & Platt Inc,1.0,NYQ,USD,EQUITY,,1900-01-01,2021-12-19,,,false,""
LEH,Lehman Brothers,,2873035,,YHD,,MUTUALFUND,,1900-01-01,2008-09-15,,,false,""
LIFE,Life Technologies,LIFE TECHNOLOGIES CORP,Ethos Technologies Inc.,0.5,NMS,USD,EQUITY,,1900-01-01,2014-01-23,,,false,""
LKQ,LKQ Corporation,LKQ CORP,LKQ Corporation,1.0,NMS,USD,EQUITY,2008-01-02,2016-05-23,2025-12-21,1.0045564067631858,10,false,""
LLL,L3 Technologies,L 3 COMMUNICATIONS HOLDINGS INC,,,,,,,1900-01-01,2019-06-30,,,false,no_info
LLTC,Linear Technology,LINEAR TECHNOLOGY CORP /CA/,4104459,,YHD,,MUTUALFUND,,1900-01-01,2017-03-12,,,false,""
LM,Legg Mason,"LEGG MASON INC|LEGG MASON, INC.",,,,,,,1900-01-01,2016-12-01,,,false,no_info
LNC,Lincoln National Corporation,LINCOLN NATIONAL CORP,Lincoln National Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2023-09-17,1.012470368002966,15,false,""
LO,Lorillard Tobacco Company,"LORILLARD, INC.",,,YHD,,MUTUALFUND,,2008-06-10,2015-06-10,,,false,""
LSI,LSI Corporation,LSI CORP,,,,,NONE,,1900-01-01,2014-05-07,,,false,""
LUMN,Lumen Technologies,"CENTURYLINK, INC|CENTURYTEL INC|LUMEN TECHNOLOGIES, INC.","Lumen Technologies, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2023-03-19,1.0099362260537397,13,false,""
LVLT,Level 3 Communications,"LEVEL 3 COMMUNICATIONS INC|LEVEL 3 PARENT, LLC",5836511,,YHD,,MUTUALFUND,,2014-11-05,2017-10-12,,,false,""
LW,Lamb Weston,"LAMB WESTON HOLDINGS, INC.","Lamb Weston Holdings, Inc.",1.0,NYQ,USD,EQUITY,2016-11-10,2018-12-03,2026-03-22,1.0016220555526594,7,false,""
LXK,Lexmark,LEXMARK INTERNATIONAL INC /KY/,1732416,,YHD,,MUTUALFUND,,1900-01-01,2012-09-30,,,false,""
M,Macy's,"MACY'S, INC.","Macy's, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2020-04-05,1.0000000196211167,11,false,""
MAC,Macerich,MACERICH CO,The Macerich Company,1.0,NYQ,USD,EQUITY,2008-01-02,2013-05-08,2019-12-22,1.0019903773664893,7,false,""
MAT,Mattel,MATTEL INC /DE/,"Mattel, Inc.",1.0,NMS,USD,EQUITY,2008-01-02,1900-01-01,2019-06-06,1.000038985564239,10,false,""
MBC,MasterBrand,"MASTERBRAND, INC.","MasterBrand, Inc.",1.0,NYQ,USD,EQUITY,2022-12-09,2022-12-15,2022-12-18,,,false,""
MBI,MBIA,MBIA INC,MBIA Inc.,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2009-12-17,,,false,""
MCK,McKesson,MCKESSON CORP,McKesson Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,1994-09-29,,,false,""
MDP,Meredith Corp,MEREDITH CORP,,,,,NONE,,1900-01-01,2011-01-02,,,false,""
MEE,Massey Energy,MASSEY ENERGY CO,1742350,,YHD,,MUTUALFUND,,2008-06-23,2011-05-31,,,false,""
MFE,McAfee,"MCAFEE, INC.",2270505,,YHD,,MUTUALFUND,,1900-01-01,2011-02-27,,,false,""
MHK,Mohawk Industries,MOHAWK INDUSTRIES INC,"Mohawk Industries, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,2013-12-23,2025-12-21,1.2078877774211711,12,false,""
MHS,Medco Health Solutions,MEDCO HEALTH SOLUTIONS INC,Morningstar US Healthcare,0.0,YHD,,MUTUALFUND,,1900-01-01,2012-04-02,,,true,name overlap 0.00
MI,Marshall & Ilsley,MARSHALL & ILSLEY CORP,NFT Limited,0.0,ASE,USD,EQUITY,,1900-01-01,2011-07-04,,,true,name overlap 0.00
MIL,Millipore,,,,,,,,1900-01-01,2010-07-13,,,false,no_info
MJN,Mead Johnson,MEAD JOHNSON NUTRITION CO,2789,,YHD,,MUTUALFUND,,2009-12-18,2017-06-18,,,false,""
MKTX,MarketAxess,MARKETAXESS HOLDINGS INC,MarketAxess Holdings Inc.,1.0,NMS,USD,EQUITY,2008-01-02,2019-07-01,2025-09-21,1.2486488304722088,5,false,""
MMI,Motorola Mobility,"MOTOROLA MOBILITY HOLDINGS, INC","Marcus & Millichap, Inc.",0.0,NYQ,USD,EQUITY,,2011-01-03,2012-05-20,,,true,name overlap 0.00
MNK,Mallinckrodt,KEENOVA THERAPEUTICS PLC|MALLINCKRODT INTERNATIONAL FINANCE SA|MALLINCKRODT PLC,,,,,,,2014-08-18,2017-07-25,,,false,no_info
MOH,Molina Healthcare,"MOLINA HEALTHCARE INC|MOLINA HEALTHCARE, INC.","Molina Healthcare, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,2022-03-02,2026-03-22,1.0092316615203332,4,false,""
MOLX,Molex,MOLEX INC,655556,,YHD,,MUTUALFUND,2008-01-02,1900-01-01,2013-12-09,0.8769474891097083,3,false,""
MON,Monsanto,MONSANTO CO /NEW/,,,,,NONE,,1900-01-01,2018-06-06,,,false,""
MRO,Marathon Oil,MARATHON OIL CORP,,,,,NONE,,1900-01-01,2024-11-25,,,false,""
MTCH,Match Group,"IAC/INTERACTIVECORP|MATCH GROUP, INC.","Match Group, Inc.",1.0,NMS,USD,EQUITY,2008-01-02,2021-09-20,2026-03-22,1.0008400961928134,4,false,""
MUR,Murphy Oil,MURPHY OIL CORP|MURPHY OIL CORP /DE,Murphy Oil Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2017-07-25,1.0000000221071075,9,false,""
MWW,Monster Worldwide,"MONSTER WORLDWIDE INC|MONSTER WORLDWIDE, INC.",,,YHD,,MUTUALFUND,,1900-01-01,2011-12-15,,,false,""
MXIM,Maxim Integrated Products|Maxim Integrated,MAXIM INTEGRATED PRODUCTS INC,,,,,NONE,,1900-01-01,2021-08-29,,,false,""
NAVI,Navient,NAVIENT CORP,Navient Corporation,1.0,NMS,USD,EQUITY,2014-04-17,2014-05-01,2018-06-04,1.002727945207814,4,false,""
NBL,Noble Energy,NOBLE ENERGY INC,,,,,NONE,,1900-01-01,2020-10-11,,,false,""
NBR,Nabors Industries,NABORS INDUSTRIES LTD,Nabors Industries Ltd.,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2015-03-22,1.1251020643792458,6,false,""
NCR,NCR Corporation,NCR CORP|NCR VOYIX CORP,,,,,NONE,,1900-01-01,2007-09-30,,,false,""
NE,Noble Corporation,NOBLE CORP|NOBLE CORP / SWITZERLAND|NOBLE CORP PLC,Noble Corporation plc,1.0,NYQ,USD,EQUITY,,1900-01-01,2015-07-19,,,false,""
NFX,Newfield Exploration,NEWFIELD EXPLORATION CO /DE/,Corgi NFLX 2x Daily ETF,0.0,BTS,USD,ETF,,2010-12-17,2019-02-14,,,true,name overlap 0.00; quote type ETF
NKTR,Nektar Therapeutics,NEKTAR THERAPEUTICS,Nektar Therapeutics,1.0,NCM,USD,EQUITY,2008-01-02,2018-03-19,2019-10-02,1.0075220774167706,2,false,""
NLSN,Nielsen Holdings,NIELSEN HOLDINGS N.V.|NIELSEN HOLDINGS PLC|NIELSEN N.V.,,,,,NONE,,2013-07-08,2022-10-11,,,false,""
NOV,Nov,NATIONAL OILWELL VARCO INC|NOV INC.,NOV Inc.,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2021-09-19,,,false,""
NOVL,Novell,NOVELL INC,9463123,,YHD,,MUTUALFUND,,1900-01-01,2011-04-26,,,false,""
NSM,National Semiconductor,NATIONAL SEMICONDUCTOR CORP,Nationstar Mortgage Holdings Inc.,0.0,YHD,,MUTUALFUND,,1900-01-01,2011-09-22,,,true,name overlap 0.00
NVLS,Novellus Systems,NOVELLUS SYSTEMS INC,3735843,,YHD,,MUTUALFUND,,1900-01-01,2012-06-04,,,false,""
NWL,Newell Brands,NEWELL BRANDS INC|NEWELL BRANDS INC.|NEWELL RUBBERMAID INC,Newell Brands Inc.,1.0,NMS,USD,EQUITY,2008-01-02,1900-01-01,2023-09-17,1.0074294200626546,14,false,""
NYT,The New York Times Company,NEW YORK TIMES CO,The New York Times Company,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2010-12-16,,,false,""
NYX,NYSE Euronext,NYSE EURONEXT,"NYIAX, Inc. Common Stock",0.0,NAS,,EQUITY,,1900-01-01,2013-11-12,,,true,name overlap 0.00; exchange NAS
ODP,Office Depot,ODP CORP|OFFICE DEPOT INC,,,,,,,1900-01-01,2010-12-16,,,false,no_info
OGN,Organon & Co.,ORGANON & CO.,Organon & Co.,1.0,NYQ,USD,EQUITY,2021-05-14,2021-06-03,2023-10-17,1.0001817754922044,3,false,""
OI,Owens-Illinois,"O-I GLASS, INC. /DE/|OWENS ILLINOIS INC /DE/","O-I Glass, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2016-12-01,0.9144235080531715,8,false,""
OMX,OfficeMax,OFFICEMAX INC,1754959,,YHD,,MUTUALFUND,,1900-01-01,2008-06-22,,,false,""
PAYC,Paycom,"PAYCOM SOFTWARE, INC.","Paycom Software, Inc.",1.0,NYQ,USD,EQUITY,2014-04-15,2020-01-28,2026-03-22,1.1689129529429967,6,false,""
PBCT,People's United Financial,"PEOPLE'S UNITED FINANCIAL, INC.",,,,,NONE,,1900-01-01,2022-04-03,,,false,""
PBI,Pitney Bowes,PITNEY BOWES INC /DE/,Pitney Bowes Inc.,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2017-02-28,1.0003780554283714,8,false,""
PCG,Pacific Gas & Electric Company,PG&E CORP,PG&E Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2019-01-17,1.0015566784928367,9,false,""
PCL,Plum Creek Timber,PLUM CREEK TIMBER CO INC,PGIM Corporate Bond 10+ Year ETF,0.0,BTS,USD,ETF,,1900-01-01,2016-02-21,,,true,name overlap 0.00; quote type ETF
PCP,Precision Castparts Corporation,PRECISION CASTPARTS CORP,534994,,YHD,,MUTUALFUND,,1900-01-01,2016-01-31,,,false,""
PCS,MetroPCS,"METROPCS COMMUNICATIONS INC|T-MOBILE US, INC.",PGIM Corporate Bond 0-5 Year ETF,0.0,BTS,USD,ETF,,2009-06-29,2013-04-29,,,true,name overlap 0.00; quote type ETF
PDCO,Patterson Companies,"PATTERSON COMPANIES, INC.",,,,,NONE,,1900-01-01,2018-03-18,,,false,""
PENN,Penn Entertainment,"PENN ENTERTAINMENT, INC.|PENN NATIONAL GAMING INC","PENN Entertainment, Inc.",1.0,NMS,USD,EQUITY,2008-01-02,2021-03-22,2022-09-18,1.0106150696181686,2,false,""
PETM,PetSmart,PETSMART INC,1824860,,YHD,,MUTUALFUND,,2012-10-10,2015-03-11,,,false,""
PGN,Progress Energy,PROGRESS ENERGY INC,1076758,,YHD,,MUTUALFUND,,1900-01-01,2012-07-01,,,false,""
PLL,Pall Corporation,PALL CORP,,,,,,,1900-01-01,2015-08-27,,,false,no_info
POM,Pepco Holdings,PEPCO HOLDINGS INC,Pomdoctor Limited,0.0,NGM,USD,EQUITY,,1900-01-01,2016-03-29,,,true,name overlap 0.00
POOL,Pool Corporation,POOL CORP,Pool Corporation,1.0,NMS,USD,EQUITY,2008-01-02,2020-10-07,2026-06-21,,,false,""
PRGO,Perrigo,PERRIGO CO LTD|PERRIGO CO PLC|PERRIGO CO,Perrigo Company plc,1.0,NYQ,USD,EQUITY,2008-01-02,2011-12-16,2021-09-19,1.000221083606164,9,false,""
PTV,Pactiv,PACTIV CORP,980658,,YHD,,MUTUALFUND,,1900-01-01,2010-11-16,,,false,""
PVH,PVH,PHILLIPS VAN HEUSEN CORP /DE/|PVH CORP. /DE/,PVH Corp.,1.0,NYQ,USD,EQUITY,2008-01-02,2013-02-15,2022-09-18,1.0035851562816234,10,false,""
PXD,Pioneer Natural Resources,PIONEER NATURAL RESOURCES CO,,,,,NONE,,1900-01-01,2024-05-07,,,false,""
Q,Qwest Communications|QuintilesIMS,"QWEST COMMUNICATIONS INTERNATIONAL INC|IQVIA HOLDINGS INC.|QUINTILES IMS HOLDINGS, INC.|QUINTILES TRANSNATIONAL HOLDINGS INC.|QNITY ELECTRONICS, INC.","Qnity Electronics, Inc.",1.0,NYQ,USD,EQUITY,2025-10-27,1900-01-01,2017-11-14,,,false,""
QEP,QEP Resources,"QEP RESOURCES, INC.",,,,,,,2010-06-30,2015-06-30,,,false,no_info
