ticker,wiki_name,sec_name,yf_name,overlap,exchange,currency,quote_type,first_price,member_start,member_end,level,n_levels,flag,reason
VNO,Vornado Realty Trust,VORNADO REALTY TRUST,Vornado Realty Trust,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2023-01-04,1.0932353062322555,14,false,""
VNT,Vontier,VONTIER CORP,Vontier Corporation,1.0,NYQ,USD,EQUITY,2020-09-24,2020-10-09,2021-03-21,0.9959854455373764,1,false,""
WB,Wachovia Bank,,Weibo Corporation,0.0,NMS,USD,EQUITY,,1900-01-01,2008-12-30,,,true,name overlap 0.00
WBA,Walgreens Boots Alliance,"WALGREENS BOOTS ALLIANCE, INC.|WALGREEN CO",,,,,,,1900-01-01,2025-08-27,,,false,no_info
WCG,WellCare,"WELLCARE HEALTH PLANS, INC.",,,,,NONE,,2018-09-14,2020-01-27,,,false,""
WFM,Whole Foods Market,WHOLE FOODS MARKET INC,,,,,,,1900-01-01,2017-08-28,,,false,no_info
WFR,MEMC Electronic Materials,"MEMC ELECTRONIC MATERIALS INC|SUNEDISON, INC.",1750769,,YHD,,MUTUALFUND,,1900-01-01,2011-12-15,,,false,""
WHR,Whirlpool Corporation,WHIRLPOOL CORP /DE/,Whirlpool Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2024-03-17,1.0267540127518004,14,false,""
WIN,Windstream Communications,"WINDSTREAM CORP|WINDSTREAM HOLDINGS, INC.",,,,,NONE,,1900-01-01,2015-04-06,,,false,""
WLTW,Willis Towers Watson,WILLIS GROUP HOLDINGS PLC|WILLIS TOWERS WATSON PLC,,,,,NONE,,2016-01-05,2022-01-09,,,false,""
WPX,WPX Energy,"WPX ENERGY, INC.",,,,,NONE,,2011-12-31,2014-03-20,,,false,""
WU,Western Union,WESTERN UNION CO,The Western Union Company,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2021-12-19,1.0076707055595158,12,false,""
WYN,Wyndham Worldwide,"TRAVEL & LEISURE CO.|WYNDHAM DESTINATIONS, INC.|WYNDHAM WORLDWIDE CORP",,,YHD,,MUTUALFUND,,1900-01-01,2018-05-30,,,false,""
X,United States Steel,UNITED STATES STEEL CORP,,,,,NONE,,1900-01-01,2014-07-01,,,false,""
XEC,Cimarex Energy,CIMAREX ENERGY CO,,,,,,,2014-06-20,2020-03-01,,,false,no_info
XL,XL Group,XL GROUP LTD|XL GROUP PLC,,,,,,,1900-01-01,2018-09-13,,,false,no_info
XLNX,Xilinx,XILINX INC,,,,,NONE,,1900-01-01,2022-02-14,,,false,""
XRAY,Dentsply Sirona,DENTSPLY INTERNATIONAL INC /DE/|DENTSPLY SIRONA INC.,DENTSPLY SIRONA Inc.,1.0,NMS,USD,EQUITY,2008-01-02,1900-01-01,2024-04-02,1.0004377033250222,15,false,""
XRX,Xerox,XEROX HOLDINGS CORP|XEROX CORP,Xerox Holdings Corporation,1.0,NMS,USD,EQUITY,2008-01-02,1900-01-01,2021-03-21,1.000000014714549,11,false,""
XTO,XTO Energy,XTO ENERGY INC,3315965,,YHD,,MUTUALFUND,,1900-01-01,2010-06-27,,,false,""
YHOO,Yahoo!,YAHOO INC,,,,,,,1999-12-08,2017-06-18,,,false,no_info
ZION,Zions Bancorporation,"ZIONS BANCORPORATION /UT/|ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/","Zions Bancorporation, National Association",1.0,NMS,USD,EQUITY,2008-01-02,1900-01-01,2024-03-17,1.0190814626876665,13,false,""
