ticker,end,last_px,month,delisting_date,class
MOLX,2013-12-09,2013-12-09,2013-11-30,,unknown
TWX,2018-06-19,2018-06-15,2018-05-31,,unknown
ANDV,2018-09-30,2018-10-01,2018-09-30,,unknown
EVHC,2018-10-10,2018-10-10,2018-09-30,,unknown
AET,2018-12-02,2018-11-29,2018-10-31,,unknown
ESRX,2018-12-23,2018-12-21,2018-11-30,,unknown
SCG,2019-01-01,2018-12-31,2018-12-31,,unknown
BMS,2019-06-10,2019-06-10,2019-05-31,,unknown
AVB,2026-08-17,2026-08-24,2026-07-31,,unknown
