concept,fy,n_missing,tag,n_ciks,example
revenue,2020,21,TreasuryStockValueAcquiredCostMethod,8,US BANCORP DE
revenue,2020,21,AvailableForSaleDebtSecuritiesAmortizedCostBasis,6,M&T BANK CORP
revenue,2020,21,GainLossOnSalesOfLoansNet,4,NAVIENT CORP
revenue,2020,21,OperatingLeasesIncomeStatementLeaseRevenue,3,EQUITY RESIDENTIAL
revenue,2020,21,CostsAndExpenses,3,EQUITY RESIDENTIAL
revenue,2020,21,BrokerageCommissionsRevenue,3,COMERICA INC /NEW/
revenue,2020,21,PaymentsOfDebtIssuanceCosts,3,SLM CORP
revenue,2020,21,Revenues,3,CLEVELAND-CLIFFS INC.
revenue,2020,21,AmortizationOfFinancingCosts,2,EQUITY RESIDENTIAL
revenue,2020,21,RealEstateInvestmentPropertyAtCost,2,INVITATION HOMES INC.
revenue,2020,21,GainsLossesOnSalesOfOtherRealEstate,2,FIRST HORIZON NATIONAL CORP
revenue,2020,21,OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditNetOfTax,2,CITIZENS FINANCIAL GROUP INC/RI
revenue,2020,21,OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax,2,"PEOPLE'S UNITED FINANCIAL, INC."
revenue,2020,21,PaymentsOfStockIssuanceCosts,2,INVITATION HOMES INC.
revenue,2020,21,GainsLossesOnSalesOfAssets,1,M&T BANK CORP
revenue,2020,21,CostOfPropertyRepairsAndMaintenance,1,EQUITY RESIDENTIAL
revenue,2020,21,AmortizationOfDeferredFinancingCostsNotesNet,1,EQUITY RESIDENTIAL
revenue,2020,21,DebtFinancingCostsNotesNet,1,EQUITY RESIDENTIAL
revenue,2020,21,AmortizationOfDeferredFinancingCostsOtherAssets,1,EQUITY RESIDENTIAL
revenue,2020,21,TotalRevenuesIncludingRevenueGeneratedByVariableInterestEntities,1,BANK OF NEW YORK MELLON CORP
