ticker,cik,fy,float_date,month,close,shares,shares_source,cap,public_float,ratio,flag,reason
A,1090872,2009,2009-04-30,2009-04-30,13.061515808105469,,,,5753000000.0,,"",""
A,1090872,2010,2010-04-30,2010-04-30,25.937053680419922,486707857.75799996,cover,12623767833.351429,9513000000.0,1.3270017695102942,"",""
A,1090872,2011,2011-04-30,2011-04-30,35.70100021362305,482480779.68,cover,17225046418.424694,12848000000.0,1.3406792044228435,"",""
A,1090872,2013,2013-04-30,2013-04-30,29.642345428466797,485328674.83799994,cover,14386280225.888037,12084000000.0,1.1905230243204268,"",""
A,1090872,2014,2014-04-30,2014-04-30,38.65522384643555,466121892.55200005,cover,18018046096.32174,15600000000.0,1.1550029548924192,"",""
A,1090872,2015,2015-04-30,2015-04-30,41.369998931884766,335810297.0,cover,13892471628.205906,9600000000.0,1.4471324612714485,"",""
A,1090872,2016,2016-04-30,2016-04-30,40.91999816894531,327770081.0,cover,13412351114.355057,9400000000.0,1.4268458632292613,"",""
A,1090872,2017,2017-04-30,2017-04-30,55.04999923706055,322300905.0,cover,17742664574.353924,12600000000.0,1.4081479820915812,"",""
A,1090872,2018,2018-04-30,2018-04-30,65.73999786376953,322476579.0,cover,21199609614.575706,16000000000.0,1.3249756009109817,"",""
A,1090872,2019,2019-04-30,2019-04-30,78.5,317515869.0,cover,24924995716.5,18900000000.0,1.3187828421428571,"",""
A,1090872,2020,2020-04-30,2020-04-30,76.66000366210938,309651359.0,cover,23737874314.917145,18000000000.0,1.3187707952731746,"",""
A,1090872,2021,2021-04-30,2021-04-30,133.63999938964844,304697515.0,cover,40719775718.627396,30900000000.0,1.317792094453961,"",""
A,1090872,2022,2022-04-30,2022-04-30,119.2699966430664,300113377.0,cover,35794521467.32932,26600000000.0,1.3456587017792978,"",""
A,1090872,2023,2023-04-30,2023-04-30,135.42999267578125,295701853.0,cover,40046899786.004944,31200000000.0,1.2835544803206713,"",""
A,1090872,2024,2024-04-30,2024-04-30,137.0399932861328,293055284.0,cover,40160294151.825745,30000000000.0,1.3386764717275248,"",""
A,1090872,2025,2025-04-30,2025-04-30,107.5999984741211,285102717.0,cover,30677051914.167778,26600000000.0,1.1532726283521721,"",""
AA,4281,2009,2009-06-30,2009-06-30,24.82299041748047,,,,10000000000.0,,"",""
AA,4281,2010,2010-06-30,2010-06-30,24.174179077148438,424893808.156471,cover,10271459007.146084,10000000000.0,1.0271459007146084,"",""
AA,4281,2011,2011-06-30,2011-06-30,38.11157989501953,442661456.5126924,cover,16870527466.32919,17000000000.0,0.9923839686075994,"",""
AA,4281,2012,2012-06-30,2012-06-30,21.0262508392334,443904722.0141489,cover,9333652033.789667,9000000000.0,1.0370724481988518,"",""
AA,4281,2013,2013-06-30,2013-06-30,18.791460037231445,445025811.4856429,cover,8362684752.0689535,8000000000.0,1.045335594008619,"",""
AA,4281,2014,2014-06-30,2014-06-30,35.780670166015625,487841709.11360794,cover,17455303287.019344,17000000000.0,1.0267825462952556,"",""
AA,4281,2015,2015-06-30,2015-06-30,26.79344940185547,508689899.2925509,cover,13629557077.929916,14000000000.0,0.9735397912807083,"",""
AA,4281,2016,2016-06-30,2016-06-30,22.27581024169922,547277272.5759467,cover,12191044673.496489,12000000000.0,1.0159203894580406,"",""
AA,4281,2017,2017-06-30,2017-06-30,32.650001525878906,440826482.0,cover,14392985309.94783,10000000000.0,1.439298530994783,"",""
AA,4281,2018,2018-06-30,2018-06-30,46.880001068115234,482832111.0,cover,22635169879.400333,8000000000.0,2.8293962349250417,"",""
AA,4281,2019,2019-06-30,2019-06-30,23.40999984741211,448629078.0,cover,10502406647.524635,11000000000.0,0.9547642406840577,"",""
AA,4281,2020,2020-06-30,2020-06-30,11.239999771118164,436103413.0,cover,4901802262.30385,7000000000.0,0.7002574660434072,"",""
AA,4281,2021,2021-06-30,2021-06-30,36.84000015258789,434325032.0,cover,16000534245.15274,15000000000.0,1.0667022830101827,"",""
AA,4281,2022,2022-06-30,2022-06-30,45.58000183105469,417914089.0,cover,19048524941.84355,13000000000.0,1.465271149372581,"",""
AA,4281,2023,2023-06-30,2023-06-30,33.93000030517578,413291033.0,cover,14022964875.816414,20000000000.0,0.7011482437908207,"",""
AA,4281,2024,2024-06-30,2024-06-30,39.779998779296875,408183459.0,cover,16237537500.749176,31000000000.0,0.5237915322822315,"",""
AA,4281,2025,2025-06-30,2025-06-30,29.510000228881836,403674062.0,cover,11912421662.01366,75000000000.0,0.1588322888268488,low,other
AAL,6201,2010,2010-06-30,2010-06-30,8.609999656677246,,,,2300000000.0,,"",""
AAL,6201,2011,2011-06-30,2011-06-30,8.90999984741211,333461642.0,cover,2971143179.3377914,1800000000.0,1.6506350996321064,"",""
AAL,6201,2012,2012-06-30,2012-06-30,13.329999923706055,335271557.0,cover,4469169829.23081,335271557.0,13.329999923706055,"",""
AAL,6201,2013,2013-06-30,2013-06-30,16.420000076293945,335271557.0,cover,5505158991.51919,1350000000.0,4.077895549273474,"",""
AAL,6201,2014,2014-06-30,2014-06-30,42.959999084472656,720196221.0,cover,30939628994.800667,31000000000.0,0.9980525482193764,"",""
AAL,6201,2015,2015-06-30,2015-06-30,39.939998626708984,692798851.0,cover,27670385157.525562,27000000000.0,1.0248290799083541,"",""
AAL,6201,2016,2016-06-30,2016-06-30,28.309999465942383,578171736.0,cover,16368041537.38298,15000000000.0,1.0912027691588653,"",""
AAL,6201,2017,2017-06-30,2017-06-30,50.31999969482422,492588818.0,cover,24787069171.433823,24000000000.0,1.0327945488097425,"",""
AAL,6201,2018,2018-06-30,2018-06-30,37.959999084472656,468152649.0,cover,17771074127.43345,17000000000.0,1.0453573016137323,"",""
AAL,6201,2019,2019-06-30,2019-06-30,32.61000061035156,444835115.0,cover,14506073371.655807,14400000000.0,1.0073662063649866,"",""
AAL,6201,2020,2020-06-30,2020-06-30,13.069999694824219,422894501.0,cover,5527230999.01284,6600000000.0,0.8374592422746727,"",""
AAL,6201,2021,2021-06-30,2021-06-30,21.209999084472656,641383123.0,cover,13603735451.626213,13600000000.0,1.000274665560751,"",""
AAL,6201,2022,2022-06-30,2022-06-30,12.680000305175781,649514848.0,cover,8235848470.856201,8200000000.0,1.004371764738561,"",""
AAL,6201,2023,2023-06-30,2023-06-30,17.940000534057617,652862508.0,cover,11712353742.186195,11700000000.0,1.0010558754005294,"",""
AAL,6201,2024,2024-06-30,2024-06-30,11.329999923706055,656090344.0,cover,7433503547.464279,7400000000.0,1.0045275064140917,"",""
AAL,6201,2025,2025-06-30,2025-06-30,11.220000267028809,659512341.0,cover,7399728642.128795,7400000000.0,0.9999633300174047,"",""
AAP,1158449,2010,2011-01-01,2010-12-31,66.1500015258789,84052980.0,cover,5560104755.254669,4296827197.0,1.2940024116251816,"",""
AAP,1158449,2011,2011-12-31,2011-12-31,69.62999725341797,74730000.0,weighted_average,5203449694.747925,4095837257000.0,0.001270423937341494,low,float_scale
AAP,1158449,2012,2012-07-13,2012-06-30,68.22000122070312,74223000.0,weighted_average,5063493150.604248,5217268445.0,0.9705257078456211,"",""
AAP,1158449,2013,2013-07-12,2013-06-30,81.16999816894531,72959064.0,cover,5922087091.287964,5984488886.0,0.9895727444898398,"",""
AAP,1158449,2014,2014-07-11,2014-06-30,134.9199981689453,72954638.0,cover,9843039625.376068,9680305678.0,1.0168108273425607,"",""
AAP,1158449,2015,2015-07-17,2015-06-30,159.2899932861328,73178233.0,cover,11656560243.261063,12380794585.0,0.9415034037785922,"",""
AAP,1158449,2016,2016-07-15,2016-06-30,161.6300048828125,73556053.0,cover,11888865205.550415,11647903451.0,1.0206871352912639,"",""
AAP,1158449,2017,2017-07-14,2017-06-30,116.58999633789062,73844670.0,cover,8609549804.872742,7204158912.0,1.195080495869098,"",""
AAP,1158449,2018,2018-07-13,2018-06-30,135.6999969482422,74031311.0,cover,10046048676.774368,9863346448.0,1.018523351049016,"",""
AAP,1158449,2019,2019-07-12,2019-06-30,154.13999938964844,71736870.0,cover,11057521098.01529,10845687437.0,1.0195316029754482,"",""
AAP,1158449,2020,2020-07-10,2020-06-30,142.4499969482422,69101221.0,cover,9843468720.569809,9274738343.0,1.0613203689998492,"",""
AAP,1158449,2021,2021-07-17,2021-06-30,205.13999938964844,65438870.0,cover,13424129751.859283,13033791636.0,1.0299481629567524,"",""
AAP,1158449,2022,2022-07-16,2022-06-30,173.08999633789062,60639825.0,cover,10496147087.180328,11302276702.0,0.9286754663618328,"",""
AAP,1158449,2023,2023-07-15,2023-06-30,70.30000305175781,59443852.0,cover,4178902977.0082397,4178937579.0,0.9999917199070084,"",""
AAP,1158449,2024,2024-07-13,2024-06-30,63.33000183105469,59622297.0,cover,3775880178.1816864,2350271465.0,1.6065719362259654,"",""
AAP,1158449,2026,2025-07-12,2025-06-30,46.4900016784668,59925637.0,cover,2785942964.713192,1900000000.0,1.4662857709016799,"",""
AAPL,320193,2009,2009-03-28,2009-02-28,3.189642906188965,,,,94593000000.0,,"",""
AAPL,320193,2010,2010-03-27,2010-02-28,7.307857036590576,25390248492.0,cover,185548306103.04547,208565000000.0,0.8896425867381654,"",""
AAPL,320193,2011,2011-03-25,2011-02-28,12.614643096923828,25795784336.0,cover,325404612803.8582,322921000000.0,1.007691084828358,"",""
AAPL,320193,2012,2012-03-30,2012-02-29,19.37285614013672,26106360000.0,cover,505754756622.6196,560356000000.0,0.9025597238587962,"",""
AAPL,320193,2013,2013-03-29,2013-02-28,15.764286041259766,26293624000.0,cover,414500209797.33276,416005000000.0,0.9963827593354233,"",""
AAPL,320193,2014,2014-03-28,2014-02-28,18.794286727905273,24975692000.0,cover,469400316675.8499,462522000000.0,1.0148713286629607,"",""
AAPL,320193,2015,2015-03-27,2015-02-28,32.1150016784668,23298992000.0,cover,748247167186.5845,709923000000.0,1.0539835548173315,"",""
AAPL,320193,2016,2016-03-25,2016-02-29,24.172500610351562,22178332000.0,cover,536105743806.5796,578807000000.0,0.9262253977691693,"",""
AAPL,320193,2017,2017-03-31,2017-03-31,35.915000915527344,20986160000.0,cover,753717955613.4033,747509000000.0,1.0083061951272871,"",""
